Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Kiribati,0,,,,,,,,0.6165456182,1.2115778378,1.785225474,2.3374589484,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10
North Korea,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
South Korea,0.0233255304,0.0462358826,0.0985537206,0.2499536089,0.3107487349,0.8118546842,1.6037090814,3.5438970831,6.6658068198,23.1136589246,43.7297224472,55.229794041,57.9017995842,63.8109200673,70.8714131705,71.8298072417,76.3170831742,77.0185926993,78.9893569021,79.5790353544,81.6224646995,81.4639615782
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,,,0.2028984331,0.8556623169,2.1745358589,3.0523974547,4.7562222088,6.7313957684,8.5517924343,10.2489679289,22.4029383805,22.927112036,25.9261083689,28.791197955,34.8,42,50.8,61.4,74.2
Kyrgyz Republic,0,,,,,,,,0.0736460343,0.2071839655,1.0534024297,3.0289586005,3.0064714214,3.8816770214,5.0042934067,10.2885057408,11.989291442,13.6859688691,15.3617298964,16.6450314863,18.016061822,19.5844561467
Lao,0,,,,,,,,0.009657814,0.0377807083,0.1110440323,0.1816644607,0.2678992413,0.3339124664,0.3614344903,0.8503574903,1.1698934277,1.64,3.55,6,7,9
Latvia,0,,,,,,0.8145014479,2.0586397281,3.3287489521,4.4093783846,6.3509824687,7.2570241799,22.0499146507,27.0830658458,38.6869248393,46.1002976729,53.750295199,59.3153968674,63.5528204832,67.0340429495,68.8188453101,72.4272155676
Lebanon,0,,,,,0.0716179908,0.1401669388,1.2410797394,2.7223521994,5.376809498,7.9527437364,6.7832197753,7,8,9,10.14,15,18.74,22.53,30.14,43.68,52
Lesotho,0,,,,,,0.0028459396,0.0055844333,0.0109565327,0.0538044595,0.2118060704,0.2611500631,1.0839431374,1.5324965902,2.1755243393,2.5802454842,2.9797081872,3.4454312597,3.58,3.72,3.86,4.2248
Liberia,0,,,,,,,0.0044894426,0.0040993872,0.0113287319,0.0177027057,0.0338122272,0.0327133071,0.0318689345,0.0310111848,,,0.5513765806,0.53,0.51,2.3,3
Libya,0,,,,,,,,,0.1336172892,0.1870426223,0.3665331753,2.2444182217,2.8145179874,3.5328381615,3.9177879771,4.3010517891,4.7219993785,9,10.8,14,16.9981
Liechtenstein,0,,,,,,,,,,36.5152298938,45.1168526484,59.470710675,58.8096918372,64.0074481394,63.371356147,64.2141613631,65.0802184432,70,75,80,85
Lithuania,0,,,,,,0.277608544,0.9789670423,1.9723332186,2.9226350162,6.4279710766,7.1759130063,17.6559975382,25.8572304481,31.1979027189,36.2353184016,43.9493184019,49.9506299883,55.2476912732,59.7893659087,62.8153398482,67.1719135342
Luxembourg,0,,0.1526530683,0.3011699197,0.4951048179,1.5866474872,5.5402879809,7.1410863548,11.759824278,17.395026482,22.8448896318,35.9983005771,39.5459603967,53.9110488674,64.8435399644,68.8019769627,71.4282649475,78.2164508232,81.9154847641,87.2843919338,90.7084833505,90.7038249323
